"Input"	"Output"	"Source_1"	"Context_1"	"Source_2"	"Context_2"	"Source_3"	"Context_3"	"Source_4"	"Context_4"	"Source_5"	"Context_5"
"63. 質問: トンネル坑口部は、一般的に土被りが小さく、グラウンドアーチが形成されにくい範囲ですが、土被り掘削幅（D）のどの程度の範囲を指しますか？"	": **1～2D（Dは掘削幅）**の範囲です。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"4中央帯の幅員は,巧該道路の区分に応じ,次の表の中央帯の幅員の欄の左欄に掲げる値以上とするものとする。ただし,**長さ100 メートル以上のトンネル,艮さ50 メートル以上の橋若しくは高架の道路**又は地形の状況その他の特別の理由によりやむを得ない筒所については,同表の中央帯の幅Wの欄の右欄に掲げる値まで縮小することができる。 [12]"	"10_トンネル（愛知_設計手引き）.pdf"	"表3.1 トンネル断面の拡幅が不必要な曲線の最小半径の例
3種1級 80 110 3.50 **670**"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-2.pdf"	"2 植樹帯の幅員は,**1.5 メートルを標準**とするものとする。ただし,地形の状況その他の特別の理由によりやむを得ない場合においては,この限りでない。 [20]"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"福島県＿道路設計マニュアル506580.pdf"	"図2-2-1 維持修繕工法設計フロー|破損程度の把握|ひび割れ率(C) **20%以上** or わだち掘れ量(D) **40mm以上** or CXD **250%・mm以上**|"
"64. 質問: 坑口部の覆工設計において、小断面トンネルおよび通常断面トンネルの場合の主筋の標準的な直径と間隔（ctc）は？"	": **直径19mm以上（ctc20cm程度）**です。"	"10_トンネル（愛知_設計手引き）.pdf"	"表3.1 トンネル断面の拡幅が不必要な曲線の最小半径の例
3種1級 80 110 3.50 **670**"	"10_トンネル（愛知_設計手引き）.pdf"	"トンネル内舗装の標準断面図（図4.1）において、中央排水溝の幅員はいくらか？
回答：A: 800mmである。"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"福島県＿道路設計マニュアル506580.pdf"	"図4-2-3 透水性アスファルト舗装標準断面例|設計区分I|透水性アスファルト混合物: **5 cm**, 路盤(粒状路盤): **10cm**, フィルター層(砂): **3 cm**|路床|"	"福島県＿道路設計マニュアル506580.pdf"	"図2-2-1 維持修繕工法設計フロー|破損程度の把握|ひび割れ率(C) **20%以上** or わだち掘れ量(D) **40mm以上** or CXD **250%・mm以上**|"
"65. 質問: 坑口部の覆工設計において、大断面トンネルの場合の主筋の標準的な直径と間隔（ctc）は？"	": **直径22mm以上（ctc20cm程度）**です。"	"10_トンネル（愛知_設計手引き）.pdf"	"表3.1 トンネル断面の拡幅が不必要な曲線の最小半径の例
3種1級 80 110 3.50 **670**"	"10_トンネル（愛知_設計手引き）.pdf"	"トンネル内舗装の標準断面図（図4.1）において、中央排水溝の幅員はいくらか？
回答：A: 800mmである。"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"福島県＿道路設計マニュアル506580.pdf"	"図4-2-3 透水性アスファルト舗装標準断面例|設計区分I|透水性アスファルト混合物: **5 cm**, 路盤(粒状路盤): **10cm**, フィルター層(砂): **3 cm**|路床|"	"06_交通安全（愛知_設計手引き）.pdf"	"表 10.5 鏡面の曲率半径
必要な視距または
見通し距離(D): 40m以上60m以下
鏡面の曲率半径(mm): **3,000**"
"66. 質問: 坑口部の支保パターン例において、フォアポーリングとはどのような工法ですか？"	": 掘削前にボルト・鉄筋・単管パイプなどを切羽天端前面に向けて挿入し地山を拘束する工法です。"	"福島県＿道路設計マニュアル506580.pdf"	"図2-2-1 維持修繕工法設計フロー|破損程度の把握|ひび割れ率(C) **20%以上** or わだち掘れ量(D) **40mm以上** or CXD **250%・mm以上**|"	"透水性_排水性舗装＿日本アスファルト協会215.pdf"	"骨材飛散や空隙つぶれの予防的維持工法としては，q排水性舗装表面に樹脂を散布し被膜を形成する“トップコート工法”，w透水性の樹脂モルタルを排水性舗装表面の凹部に充填する“透水性樹脂モルタル充填工法”が1999年前後に開発され，室内試験等でその有効性が確認されている38）32）36）。... この図から，トップコート工法を適用することで，**排水性混合物の締固め度が小さい場合でも，骨材飛散の予防効果**が期待できると推察される。[52, 62]"	"アスファルト舗装材料の種別と特性"	"排水性舗装（ポーラスアスファルト）は、空隙率20%というスカスカの構造（骨材の点接触構造）を持つため、通常のバインダでは骨材が容易に飛散（ラベリング）してしまう。これを防ぐために開発された特殊バインダである... 排水性舗装（ポーラスアスファルト混合物）には、このH型の使用が原則（事実上の必須）となっている[7]"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"アスファルト舗装工における基層・中間層・表層及び縁石工におけるアスカーブに適用する。[61]"	"562458.pdf"	"※2 **経済性,現場条件及び占用物件の状況等**を考慮の上、**路盤材に鉄鋼スラグを用いることができる**。"
"67. 質問: 坑口部で予想される現象として、「斜面崩壊」の他に、地すべり、岩盤崩壊、偏土圧、地耐力不足、切羽崩壊、地表面沈下のうち3つを挙げてください。"	": 地すべり、岩盤崩壊、偏土圧などが挙げられます。"	"福島県＿道路設計マニュアル506580.pdf"	"機能性の低下: ・空隙づまり: **泥、粉塵等の浸入堆積** ・空隙つぶれ: **走行車両によるニーディング** ・**アスファルトモルタルの過剰**[68]"	"透水性_排水性舗装＿日本アスファルト協会215.pdf"	"重交通路線における耐久性については，**粘性土**や**安定処理等，透水性の低い地盤・路床**における耐久性については解明されていない。[87]"	"10_トンネル（愛知_設計手引き）.pdf"	"表3.1 トンネル断面の拡幅が不必要な曲線の最小半径の例
3種1級 80 110 3.50 **670**"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"
"68. 質問: 坑門は、上方の斜面からの崩落土砂、落石、雪崩等から何を防御するものですか？"	": 坑口部を防護するものです。"	"福島県＿道路設計マニュアル506580.pdf"	"機能性の低下: ・空隙づまり: **泥、粉塵等の浸入堆積** ・空隙つぶれ: **走行車両によるニーディング** ・**アスファルトモルタルの過剰**[68]"	"562458.pdf"	"※2 **経済性,現場条件及び占用物件の状況等**を考慮の上、**路盤材に鉄鋼スラグを用いることができる**。"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"積雪寒冷地域に存する道路の車道及び側帯の舗装の施工に当たっては、路床の状態を勘案して必要がある場合においては、**路床土の凍結融解による舗装の破損を防止する対策**を行うものとする[66]。"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"アスファルト舗装工における基層・中間層・表層及び縁石工におけるアスカーブに適用する。[61]"	"透水性_排水性舗装＿日本アスファルト協会215.pdf"	"重交通路線における耐久性については，**粘性土**や**安定処理等，透水性の低い地盤・路床**における耐久性については解明されていない。[87]"
"69. 質問: 坑門工設計の留意点として、進入するドライバーにどのようなデザインが望ましいとされていますか？"	": 圧迫感・抵抗感がないデザインが望ましいとされています。"	"562458.pdf"	"※2 **経済性,現場条件及び占用物件の状況等**を考慮の上、**路盤材に鉄鋼スラグを用いることができる**。"	"舗装の要求性能の整理と設計体系のあり方 基本方針まとめ.pdf"	"舗装構造が有すべき性能のうち,「舗装の構造に関する技術基準」(平成13年
6月29日都市・地域整備局長・道路局長通達)において必須の性能指標として
次のi)へ・iii)が,また南水を道路の路面ドに円滑に浸透させることができる構
造の場合はiv)を追加した性能指標が定められている。
i) **疲労破壊に対する耐久性〔疲労破壊輪数** )
ii) **わだち掘れに対する抵抗力(塑性変形輪数** )
in) **路面の平坦性**"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"道路構造令の解説と運用（令和3年）_R3年3月-13.pdf"	"道路線形の連続性を考慮することが必要となる。特に長距離トリッブの多い主要幹 線道路においては,運転者は疲労により線形の急変に対しての挙動が鈍ることを 考慮し,特に注意を払う必要がある。原則として,畏いiH線の終端に小さな曲線部を設けるようなことはすべきでな いし,大きな半径の曲線部から小さな曲線部へ急激に変化するような線形も設け るべきではない。この場合,道路構造令上許されるということだけでよいとする ことは厳に避ける必要がある。道路構造令は設計速度を維持して走行する車両に 対しての安全を保障するものであるが,前後の線形と運転者の人間としての一般 的性向からくる設計速度を超過する可能性に対しては,設計者の技術的な判断を 加えて予想される危険を避けるのが正しい運用であることを念頭に入れるべきで ある。"	"福島県＿道路設計マニュアル506580.pdf"	"機能性の低下: ・空隙づまり: **泥、粉塵等の浸入堆積** ・空隙つぶれ: **走行車両によるニーディング** ・**アスファルトモルタルの過剰**[68]"
"70. 質問: 坑門工設計において、コンクリート面が大きいと、照明上どのような影響があるとされていますか？"	": 野外輝度が大きくなり緩和照明のレベルに影響するとされています。"	"アスファルト舗装材料の種別と特性.docx"	"路面がコンクリート色（白灰色）となるため、トンネル内での照明効果向上や、夏場の路面温度上昇抑制に寄与する。[31, 32]"	"国総研＿舗装設計ks0285004.pdf"	"$sigma$: コンクリート版の直角隅角部の最大応力度 $(N/mm^{2})$"	"アスファルト舗装材料の種別と特性"	"構造原理 : 母体となる多孔質のアスファルト混合物（空隙率21〜26%程度が適切とされる）の空隙に、特殊なセメントミルク（樹脂系添加剤入り浸透用グラウト）を浸透・硬化させた複合舗装（コンポジット舗装）である[31]。工学的特性 : 「アスファルトのたわみ性（柔軟性）」と「コンクリートの剛性（強さ）」をハイブリッドさせた性質を持つ[31]。**耐流動性** : コンクリート骨格が形成されるため、バス停や交差点のような静的重荷重下でも、わだち掘れがほぼ発生しない[31]。**耐油性** : アスファルトがセメントミルクで被覆・保護されるため、バスやトラックからの油漏れによるアスファルトの溶解・破損を防ぐ[31]。**明色性** : 路面がコンクリート色（白灰色）となるため、トンネル内での照明効果向上や、夏場の路面温度上昇抑制に寄与する[31]。"	"福島県＿道路設計マニュアル506580.pdf"	"機能性の低下: ・空隙づまり: **泥、粉塵等の浸入堆積** ・空隙つぶれ: **走行車両によるニーディング** ・**アスファルトモルタルの過剰**[68]"	"562458.pdf"	"※2 **経済性,現場条件及び占用物件の状況等**を考慮の上、**路盤材に鉄鋼スラグを用いることができる**。"
"71. 質問: 坑門工設計の留意点として、積雪地においては、雪の吹込みが少ないことの他に2つ挙げてください。"	": 雪庇が発生しにくいこと、除雪作業が容易であることです。"	"福島県＿道路設計マニュアル506580.pdf"	"積雪寒冷地において、凍結融解による破壊やチェーン等による摩耗など、舗装としての耐久性の問題は特に確認されていないため適用は可能であり... しかし、**冬期の路面雪氷の融解が遅い傾向にある**といわれており、気象条件等の現場環境を考慮して適切な路線選定を行うとともに、冬期時の路面管理を十分に配慮する必要がある[57]。"	"道路構造令の解説と運用（令和3年）_R3年3月-17.pdf"	"2積雪寒冷の度がはなはだしい地域に存する道路にあっては,合成勾配は,**8パーセント以下**とするものとする。"	"アスファルト舗装材料の種別と特性"	"設計上の注意点 : 母体空隙率が低すぎると（**20%以下**）、**セメントミルクが十分に浸透せず**、層内で**剥離や破損が生じるリスク**があるため、配合設計と施工管理が重要である2。"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"積雪寒冷地域に存する道路の車道及び側帯の舗装の施工に当たっては、路床の状態を勘案して必要がある場合においては、**路床土の凍結融解による舗装の破損を防止する対策**を行うものとする[66]。"	"562458.pdf"	"※2 **経済性,現場条件及び占用物件の状況等**を考慮の上、**路盤材に鉄鋼スラグを用いることができる**。"
"72. 質問: 坑口付けの切土において、トンネル延長を短くしようとして坑口を山腹深く切り込むことを避けるべき理由は何ですか？"	": 斜面の安定を損ない斜面崩壊・地すべりなどを引き起こす恐れがあり、周辺景観との調和が図り難いなどが問題となるためです。"	"10_トンネル（愛知_設計手引き）.pdf"	"3.1.2 縦断線形
・自然流下させる場合
現場の不陸などのため、最小0.3~0.5%の勾配の確保が必要
・トンネル完成後の排水としては、漏水及びトンネル維持用の洗浄水などがあるが、排水勾配としては通常**0.1~0.2%以上**あれば十分"	"04_舗装（愛知_設計手引き）.pdf"	"4. セメントコンクリート舗装...
4.1 トンネル内舗装
トンネル内舗装は、耐久性に優れ、明るいコンクリート舗装を標準とする。"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"2. 特に以下に示すような組合せは避けることが望ましい。
¢1)**急な平面曲線と急な縦断勾配を組合せた線形**とすること
(2) **下り勾配で直線の先に急な平面曲線を接続すること**
(3) **凸形縦断曲線の頂部または凹形縦断曲線の底部に急な平面曲 線を入れること**
¢4)凸形縦断曲線の頂部または凹形縦断曲線の底部に背向曲線の 変曲点を配すること
(5) 一つの平面曲線内または一つの直線内で縦断線形が凹凸を繰 り返すこと
(6) 平面線形が長い直線となる区間に凹形縦断曲線を入れること"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"福島県＿道路設計マニュアル506580.pdf"	"ひび割れがリフレクションクラック対策(シート、シトネ層、開粒度)を検討すること。"
"73. 質問: 切取り勾配の留意点として、トンネル掘削の施工性から要求される一般的な勾配の範囲は？"	": 1:0.3～0.5です。"	"10_トンネル（愛知_設計手引き）.pdf"	"3.1.2 縦断線形
・自然流下させる場合
現場の不陸などのため、最小0.3~0.5%の勾配の確保が必要
・トンネル完成後の排水としては、漏水及びトンネル維持用の洗浄水などがあるが、排水勾配としては通常**0.1~0.2%以上**あれば十分"	"10_トンネル（愛知_設計手引き）.pdf"	"表3.1 トンネル断面の拡幅が不必要な曲線の最小半径の例
3種1級 80 110 3.50 **670**"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"04_舗装（愛知_設計手引き）.pdf"	"3.14.4 すベリ止め舗装
(1) 採択基準
(a) **縦断勾配6%以上の区間**。"	"04_舗装（愛知_設計手引き）.pdf"	"4. セメントコンクリート舗装...
4.1 トンネル内舗装
トンネル内舗装は、耐久性に優れ、明るいコンクリート舗装を標準とする。"
"74. 質問: 補助工法"	": 掘削後支保工の施工が完了するまで切羽の自立を保持する工法です。"	"福島県＿道路設計マニュアル506580.pdf"	"図2-2-1 維持修繕工法設計フロー|破損程度の把握|ひび割れ率(C) **20%以上** or わだち掘れ量(D) **40mm以上** or CXD **250%・mm以上**|"	"福島県＿道路設計マニュアル506580.pdf"	"路上路盤再生工法を適用する場合に考慮しなければならない条件を表2-4-4に示す。"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"2. 特に以下に示すような組合せは避けることが望ましい。
¢1)**急な平面曲線と急な縦断勾配を組合せた線形**とすること
(2) **下り勾配で直線の先に急な平面曲線を接続すること**
(3) **凸形縦断曲線の頂部または凹形縦断曲線の底部に急な平面曲 線を入れること**
¢4)凸形縦断曲線の頂部または凹形縦断曲線の底部に背向曲線の 変曲点を配すること
(5) 一つの平面曲線内または一つの直線内で縦断線形が凹凸を繰 り返すこと
(6) 平面線形が長い直線となる区間に凹形縦断曲線を入れること"	"04_舗装（愛知_設計手引き）.pdf"	"3.8.4 路床対策
⑥ 設計に用いる添加量は路線,事業、及び工区毎などで配合設計の事前調査を実施して決定することを基本とする。舗装構成は最低 200m は変えないものとし、1構成に付き、最低3箇所以上資料採取し、各採取箇所毎に最適添加量を算出して、その平均値により決定する。"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"区分: 第一種、第二種、第三種第一級及び第二級並びに第四種第一級, 舗装計画交通量(単位 一日につき台): 三、〇〇〇以上, 塑性変形輪数(単位 一ミリメートルにつき回): **三、〇〇〇**"
"75. 質問: 長尺フォアパイリングは、どのような不安定な地山において、地山を補強して切羽の安定化を図る工法ですか？"	": アーチ作用が期待できない不安定な地山においてです。"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"	"福島県＿道路設計マニュアル506580.pdf"	"図2-2-1 維持修繕工法設計フロー|破損程度の把握|ひび割れ率(C) **20%以上** or わだち掘れ量(D) **40mm以上** or CXD **250%・mm以上**|"	"アスファルト舗装材料の種別と特性"	"荷重支持機構|各層のたわみ性による荷重分散（Flexible Pavement）|コンクリート版の曲げ剛性による支持（Rigid Pavement）[7]...維持修繕|簡易な工法（切削オーバーレイ等）で補修可能であり、埋設管工事等の復旧も容易|大規模な打ち替えが必要となり、維持修繕や埋設物対応が困難[7]"	"透水性_排水性舗装＿日本アスファルト協会215.pdf"	"２層同時舗設用アスファルトフィニッシャ」は，下層用と上層用のホッパ・スクリュウ・スクリードを装備している。このため，２層式排水性舗装を**ワンパスで敷きならすことができ，施工の合理化**が期待できる[79]。なお，上部２bに７号砕石・下部３bに６号砕石を用いた排水性舗装からの切取り供試体の動的安定度が，上・下別々に敷きならした場合には2,670回/aであったのに対し，上・下を同時に敷きならした場合には**7,580回/aを示した**との報告がある[80]。"	"透水性_排水性舗装＿日本アスファルト協会215.pdf"	"薄層化が検討され，中央自動車道で試験施工が実施されている27）28）。なお，薄層化することで30％程度の**材料費削減等**が見込めるが，通常の排水性舗装に比べ，**排水機能や吸音機能等が若干劣る**と言われている27）。[78]"
"76. 質問: トンネルの本体設計と施設設計の連携において、設計時において特に注意すべき項目として、何が建築限界を侵していないか確認すべきですか？"	": 各施設の配置や箱抜きなどが建築限界を侵していないか確認すべきです。"	"10_トンネル（愛知_設計手引き）.pdf"	"3.1.2 縦断線形
・自然流下させる場合
現場の不陸などのため、最小0.3~0.5%の勾配の確保が必要
・トンネル完成後の排水としては、漏水及びトンネル維持用の洗浄水などがあるが、排水勾配としては通常**0.1~0.2%以上**あれば十分"	"04_舗装（愛知_設計手引き）.pdf"	"4. セメントコンクリート舗装...
4.1 トンネル内舗装
トンネル内舗装は、耐久性に優れ、明るいコンクリート舗装を標準とする。"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"アスファルト舗装材料の種別と特性"	"設計上の注意点 : 母体空隙率が低すぎると（**20%以下**）、**セメントミルクが十分に浸透せず**、層内で**剥離や破損が生じるリスク**があるため、配合設計と施工管理が重要である2。"	"アスファルト舗装材料の種別と特性.docx"	"設計上の注意点 : 母体空隙率が低すぎると（**20%以下**）、**セメントミルクが十分に浸透せず**、層内で**剥離や破損が生じるリスク**があるため、配合設計と施工管理が重要である[33]。"
"77. 質問: トンネル内装工の設置基準において、内装等級区分の検討には、いつの推定交通量を使用しますか？"	": 供用時より20年後の推定交通量を使用します。"	"10_トンネル（愛知_設計手引き）.pdf"	"トンネル延長(m)
10,000
3,000
1,000
500
C
B
A
AA
200
非常設備設置不要 D
100
1,000 2,000 4,000 10,000 20,000 40,000
交通量(1本あたり)(台/日)
図3.28 トンネルの等級区分"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"区分: 第一種、第二種、第三種第一級及び第二級並びに第四種第一級, 舗装計画交通量(単位 一日につき台): 三、〇〇〇以上, 塑性変形輪数(単位 一ミリメートルにつき回): **三、〇〇〇**"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-8.pdf"	"区 分 屯線の幅員(屯位メートル)... 第1種... 第 1 級 **3.5**... ただし,第1棟第1級若しくは第2級... の普通道路にあっては,交通の状況により必要がある場合においては,IN|欄に掲げる値に**0.25 メ ートルを加えた値**とすることができる。 [7]"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"	"国総研＿舗装設計ks0285004.pdf"	"設計者が載荷重の交通量（作用回数）を設定しなくても，舗装厚は仕様規定的に決定することができる方法が示されている[42]。この方法は,簡便であるとともに，長年にわたる実績により適用性が認められているものと考えられるが，**設計された舗装が保有する性能が不明確**であり，**施設の利用状況等に応じた合理的な舗装構造を設定することができない**という問題がある[42]。"
"78. 質問: 内装等級区分Ⅱのトンネルの内装工の設置幅は、路面からの高さで何mとされていますか？"	": 2.5mです。"	"10_トンネル（愛知_設計手引き）.pdf"	"トンネル内舗装の標準断面図（図4.1）において、中央排水溝の幅員はいくらか？
回答：A: 800mmである。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"4中央帯の幅員は,巧該道路の区分に応じ,次の表の中央帯の幅員の欄の左欄に掲げる値以上とするものとする。ただし,**長さ100 メートル以上のトンネル,艮さ50 メートル以上の橋若しくは高架の道路**又は地形の状況その他の特別の理由によりやむを得ない筒所については,同表の中央帯の幅Wの欄の右欄に掲げる値まで縮小することができる。 [12]"	"13_照査（愛知_設計手引き）.pdf"	"路側用防護柵の設置区間延長は、当該区間の前後にそれぞれ概ね何メートル程度延長して設置するものとするか？
回答：A: 20m程度延長して設置するものとする。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-8.pdf"	"区 分 屯線の幅員(屯位メートル)... 第1種... 第 1 級 **3.5**... ただし,第1棟第1級若しくは第2級... の普通道路にあっては,交通の状況により必要がある場合においては,IN|欄に掲げる値に**0.25 メ ートルを加えた値**とすることができる。 [7]"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"
"79. 質問: トンネル換気施設の設計の対象とする有害物質を2つ挙げてください。"	": **煤煙及び一酸化炭素（CO）**です。"	"10_トンネル（愛知_設計手引き）.pdf"	"表3.22 トンネル等級別の非常用施設
| 非常用施設 | トンネル等級 | AA | A | B | C |
| ------ | ------ | ------ | ------ | ------ | ------ |
| 通報設備 | 通話型通報設備 | ◎ | ◎ | **◎** | ◎ |
| 警報設備 | 非常警報設備 | ◎ | ◎ | **◎** | ◎ |
| 消火設備 | 消火器 | ◎ | ◎ | **◎** | ◎ |
| 避難誘導設備 | 誘導表示設備 | ◎ | ◎ | ○* | ○* |
（注）上表中「◎印は原則として設置する」、「○※印は必要に応じて設置する」ことを示す。"	"福島県＿道路設計マニュアル506580.pdf"	"機能性の低下: ・空隙づまり: **泥、粉塵等の浸入堆積** ・空隙つぶれ: **走行車両によるニーディング** ・**アスファルトモルタルの過剰**[68]"	"562458.pdf"	"※2 **経済性,現場条件及び占用物件の状況等**を考慮の上、**路盤材に鉄鋼スラグを用いることができる**。"	"562458.pdf"	"※2 経済性,現場条件及び占用物件の状況等を考慮の上、**路盤材に鉄鋼スラグを用いることができる**。"	"04_舗装（愛知_設計手引き）.pdf"	"(2) 再生加熱アスファルト混合物については**40km及び運搬時間1.5時間の範囲**に再資源化施設がある場合。"
"80. 質問: 設計速度80km/h以上の場合の煤煙の設計濃度（100m透過率）は何%ですか？"	": **50%**です。"	"01_総則_愛知_設計手引き）.pdf"	"最小曲線半径(m)
設計速度
信号交差点および一時停
止制御交差点の主道路
一時停止
制御交差点
の従道路
標準値 特例値
60 150 120 **60**
50 100 80 **40**
40 60 50 **30**
30 30 15 **15**
20 15 15 **15**"	"01_総則_愛知_設計手引き）.pdf"	"最小曲線半径(m)
設計速度
信号交差点および一時停
止制御交差点の主道路
標準値 特例値
80 **280** 230
60 **150** 120
50 **100** 80
40 **60** 50
30 **30** 30
20 **15** 15"	"道路構造令の解説と運用（令和3年）_R3年3月-17.pdf"	"設 計 速 度 (単位1時間につきキロメートル)
120 **10**
100 10.5
80 **10.5**
60 11.5
50 11.5
40 11.5
30 12.5
20 12.5"	"道路構造令の解説と運用（令和3年）_R3年3月-17.pdf"	"設 計 速 度 (単位1時間につきキロメートル)
120 10
100 10.5
80 10.5
60 11.5
50 11.5
40 **11.5**
30 12.5
20 12.5"	"道路構造令の解説と運用（令和3年）_R3年3月-16.pdf"	"設計 速度 (単位1時間につきキロメート ル)
120 凸形曲線 11,000 凹形曲線 4,000
100 lnl形曲線 6,500 凹形曲線 3,000
80 凸形曲線 3,000 凹形曲線 **2,000**
60 凸形曲線 1,400 凹形曲線 1,000"
"81. 質問: 設計速度60km/h以下の場合の煤煙の設計濃度（100m透過率）は何%ですか？"	": **40%**です。"	"01_総則_愛知_設計手引き）.pdf"	"最小曲線半径(m)
設計速度
信号交差点および一時停
止制御交差点の主道路
一時停止
制御交差点
の従道路
標準値 特例値
60 150 120 **60**
50 100 80 **40**
40 60 50 **30**
30 30 15 **15**
20 15 15 **15**"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"区 分 設計速度 (単位1時間につき キロメートル) 縦断S配 (単位パーセント)
第 4 種
普通道路
60 5 7
50 6 8
40 **7** 9"	"道路構造令の解説と運用（令和3年）_R3年3月-17.pdf"	"設 計 速 度 (単位1時間につきキロメートル)
120 **10**
100 10.5
80 **10.5**
60 11.5
50 11.5
40 11.5
30 12.5
20 12.5"	"道路構造令の解説と運用（令和3年）_R3年3月-17.pdf"	"設 計 速 度 (単位1時間につきキロメートル)
120 10
100 10.5
80 10.5
60 11.5
50 11.5
40 **11.5**
30 12.5
20 12.5"	"道路構造令の解説と運用（令和3年）_R3年3月-16.pdf"	"設計 速度 (単位1時間につきキロメート ル)
120 凸形曲線 11,000 凹形曲線 4,000
100 lnl形曲線 6,500 凹形曲線 3,000
80 凸形曲線 3,000 凹形曲線 **2,000**
60 凸形曲線 1,400 凹形曲線 1,000"
